   44     1  
   44     1  
   46     1  
   46     1  
   52     1  
   52     1  
   58     1  
   58     1  
   66     1  
   66     1  
   73     1  
   73     1  
   83     1  
   83     1  
   92     1  
   92     1  
  102     1  
  102     1  
  110     1  
  110     1  
  121     1  
  121     1  

    1     2  
    1     2  
    2     2  
    2     2  
    3     2  
    3     2  
    6     2  
    6     2  
    9     2  
    9     2  
   14     2  
   14     2  
   17     2  
   17     2  
   24     2  
   24     2  
   29     2  
   29     2  
   37     2  
   37     2  
   44     2  
   44     2  

  111     3  
  111     3  
  112     3  
  112     3  
  113     3  
  113     3  
  114     3  
  114     3  
  115     3  
  115     3  
  116     3  
  116     3  
  117     3  
  117     3  
  118     3  
  118     3  
  119     3  
  119     3  
  120     3  
  120     3  
  121     3  
  121     3  

    1     4  
    4     4  
   10     4  
   19     4  
   30     4  
   48     4  
   62     4  
   75     4  
   86     4  
   98     4  
  111     4  








